Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,Churn Score,CLTV,Churn Category,Churn Reason,Churn,Churn Probability,Predicted Churn,Risk Level,Intervention Priority,Retention Recommendation,Monthly Revenue at Risk
0094-OIFMO,Female,78,No,Yes,No,Yes,1,United States,California,North Hollywood,91605,34.207295,-118.400022,57146,Q3,No,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,1,Churned,Yes,85,5980,Dissatisfaction,Product dissatisfaction,1,0.326209586309285,1,Medium Risk,Monitor / Targeted Campaign,Contract Upgrade + Tech Support Offer + Online Security Offer + Plan/Pricing Review,30.989910699382072
9947-OTFQU,Male,65,No,Yes,No,No,0,United States,California,Covina,91722,34.097345,-117.906736,33817,Q3,No,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,Churned,Yes,86,4616,Competitor,Competitor had better devices,1,0.5680829248845053,1,Medium Risk,Monitor / Targeted Campaign,Contract Upgrade + Tech Support Offer + Online Security Offer,42.265369611407195
9514-JDSKI,Male,77,No,Yes,Yes,No,0,United States,California,El Monte,91732,34.074492,-118.01462,62660,Q3,Yes,1,1,Offer E,No,0.0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,2,Churned,Yes,65,5828,Dissatisfaction,Limited range of services,1,0.9175987313378423,1,High Risk,Immediate,Contract Upgrade + Early-Tenure Intervention + Tech Support Offer + Online Security Offer,36.88746899978126
7273-TEFQD,Male,67,No,Yes,No,No,0,United States,California,La Puente,91746,34.038983,-117.991372,30802,Q3,No,0,3,Offer E,No,0.0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,2,Churned,Yes,96,2314,Price,Long distance charges,1,0.8599387588242012,1,High Risk,Immediate,Contract Upgrade + Early-Tenure Intervention + Tech Support Offer + Online Security Offer,35.38647992561588
3606-TWKGI,Male,68,No,Yes,No,No,0,United States,California,Rowland Heights,91748,33.976753,-117.897367,46342,Q3,No,0,13,Offer D,Yes,32.68,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.14,1,Churned,Yes,84,2494,Competitor,Competitor had better devices,1,0.8784251040995988,1,High Risk,Immediate,Contract Upgrade + Tech Support Offer + Online Security Offer + Plan/Pricing Review,93.90364362824712
4385-GZQXV,Female,68,No,Yes,No,No,0,United States,California,Ontario,91764,34.074087,-117.605618,49474,Q3,No,0,16,Offer D,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,1,Churned,Yes,81,3810,Competitor,Competitor had better devices,1,0.7090233400579589,1,High Risk,Immediate,Contract Upgrade + Online Security Offer + Plan/Pricing Review,66.96725446847422
3488-PGMQJ,Male,66,No,Yes,No,No,0,United States,California,Alpine,91901,32.827184,-116.703729,16486,Q3,No,0,8,No Offer,Yes,1.78,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79,2,Churned,Yes,80,4345,Dissatisfaction,Poor expertise of online support,1,0.7279142637932314,1,High Risk,Immediate,Contract Upgrade + Tech Support Offer + Online Security Offer,54.22961265259574
7534-BFESC,Male,69,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,24,Offer C,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,2,Churned,Yes,91,2018,Competitor,Competitor made better offer,1,0.6804406992709757,1,High Risk,Immediate,Contract Upgrade + Tech Support Offer + Online Security Offer,51.78153721452125
8098-LLAZX,Female,74,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,4,Offer E,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,3,Churned,Yes,85,3677,Competitor,Competitor made better offer,1,0.886723479763078,1,High Risk,Immediate,Contract Upgrade + Early-Tenure Intervention + Tech Support Offer + Online Security Offer + Plan/Pricing Review,84.6377561433858
0265-EDXBD,Male,76,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,2,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,2,Churned,Yes,69,4105,Attitude,Attitude of support person,1,0.7624111434526561,1,High Risk,Immediate,Contract Upgrade + Tech Support Offer + Online Security Offer,57.10459464460395
2840-XANRC,Male,77,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,1,24,Offer C,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0,386.4,2617.4500000000003,2,Churned,Yes,73,2212,Competitor,Competitor made better offer,1,0.9667045105103954,1,High Risk,Immediate,Contract Upgrade + Tech Support Offer + Online Security Offer + Plan/Pricing Review,90.04852515404333
5020-ZSTTY,Female,70,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,54,Offer B,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,1,Churned,Yes,83,4149,Competitor,Competitor made better offer,1,0.07486975032684443,0,Low Risk,Maintain,Maintain Relationship,6.173010914448323
5804-LEPIM,Female,74,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,2,Offer E,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39,3,Churned,Yes,73,2671,Other,Don't know,1,0.8512610247294812,1,High Risk,Immediate,Contract Upgrade + Early-Tenure Intervention + Tech Support Offer + Online Security Offer,59.88621308971899
0623-IIHUG,Female,77,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,21,No Offer,No,0.0,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0,0,0.0,840.1,1,Churned,Yes,90,4778,Competitor,Competitor made better offer,1,0.7233816699861092,1,High Risk,Immediate,Contract Upgrade + Tech Support Offer,30.309691972417973
9057-MSWCO,Male,71,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,27,No Offer,No,0.0,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0,140,0.0,945.1,1,Churned,Yes,91,2927,Competitor,Competitor made better offer,1,0.5341718094565605,1,Medium Risk,Monitor / Targeted Campaign,Contract Upgrade + Tech Support Offer,16.425783140789235
4895-TMWIR,Male,79,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,1,11,No Offer,Yes,29.54,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0,324.94,539.69,1,Churned,Yes,80,5888,Competitor,Competitor made better offer,1,0.7726458045161514,1,High Risk,Immediate,Contract Upgrade + Tech Support Offer + Online Security Offer,15.41428380009722
0533-BNWKF,Female,66,No,Yes,Yes,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,Yes,2,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.799999999999,1,Churned,Yes,91,5502,Competitor,Competitor made better offer,1,0.7045506418596921,1,High Risk,Immediate,Contract Upgrade + Tech Support Offer + Online Security Offer + Plan/Pricing Review,60.203852346910686
0334-GDDSO,Male,77,No,Yes,No,No,0,United States,California,San Diego,92122,32.85723,-117.209774,34902,Q3,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.660000000000004,261.36,1,Churned,Yes,73,2818,Competitor,Competitor made better offer,1,0.8500710715315722,1,High Risk,Immediate,Contract Upgrade + Early-Tenure Intervention + Tech Support Offer + Online Security Offer + Plan/Pricing Review,69.1532816690934
5564-NEMQO,Female,80,No,Yes,No,No,0,United States,California,Thermal,92274,33.53604,-116.119222,17018,Q3,No,0,1,Offer E,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,2,Churned,Yes,67,4902,Dissatisfaction,Network reliability,1,0.8666644057199792,1,High Risk,Immediate,Contract Upgrade + Early-Tenure Intervention + Tech Support Offer + Online Security Offer,65.25982975071443
6235-VDHOM,Female,77,No,Yes,No,No,0,United States,California,Riverside,92509,34.004379,-117.447864,63999,Q3,No,0,5,Offer E,No,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,2,Churned,Yes,89,4099,Dissatisfaction,Limited range of services,1,0.6689243951910784,1,High Risk,Immediate,Contract Upgrade + Early-Tenure Intervention + Tech Support Offer + Online Security Offer,19.030899043186178
5609-CEBID,Female,77,No,Yes,No,No,0,United States,California,Hemet,92544,33.644585,-116.871544,39264,Q3,No,0,20,No Offer,Yes,48.73,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,0.0,80,974.6,2837.0,1,Churned,Yes,87,2666,Competitor,Competitor had better devices,1,0.7116680309265321,1,High Risk,Immediate,Contract Upgrade + Tech Support Offer + Online Security Offer + Plan/Pricing Review,66.96796171018667
5956-VKDTT,Female,72,No,Yes,Yes,No,0,United States,California,Moreno Valley,92557,33.970661,-117.255039,46214,Q3,Yes,4,5,Offer E,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.8,563.6,1,Churned,Yes,82,5273,Dissatisfaction,Product dissatisfaction,1,0.7932069465572837,1,High Risk,Immediate,Contract Upgrade + Early-Tenure Intervention + Tech Support Offer + Online Security Offer,58.97493647653404
0257-ZESQC,Female,80,No,Yes,Yes,No,0,United States,California,Perris,92571,33.828289,-117.201666,26357,Q3,Yes,2,27,No Offer,Yes,7.02,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,1,Churned,Yes,91,4517,Attitude,Attitude of support person,1,0.9027240774087109,1,High Risk,Immediate,Contract Upgrade + Tech Support Offer,67.88485062113506
2865-TCHJW,Female,74,No,Yes,No,No,0,United States,California,Anaheim,92807,33.848733,-117.788357,36301,Q3,No,0,4,No Offer,Yes,48.35,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,1,Churned,Yes,74,5808,Competitor,Competitor had better devices,1,0.9510584385337391,1,High Risk,Immediate,Contract Upgrade + Early-Tenure Intervention + Tech Support Offer + Online Security Offer + Plan/Pricing Review,84.83441271720953
5192-EBGOV,Female,68,No,Yes,No,No,0,United States,California,Brea,92823,33.924143,-117.79387,1408,Q3,No,0,1,No Offer,Yes,45.81,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0,45.81,131.51,1,Churned,Yes,66,4880,Competitor,Competitor had better devices,1,0.8828542716826775,1,High Risk,Immediate,Contract Upgrade + Early-Tenure Intervention + Tech Support Offer + Online Security Offer + Plan/Pricing Review,75.66061108320547
3419-SNJJD,Female,78,No,Yes,Yes,No,0,United States,California,Yorba Linda,92887,33.884073,-117.732197,20893,Q3,Yes,3,65,Offer B,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0,1195.35,7981.75,1,Churned,Yes,91,4196,Attitude,Attitude of support person,1,0.49118285114343324,1,Medium Risk,Monitor / Targeted Campaign,Contract Upgrade + Tech Support Offer + Plan/Pricing Review,51.69699508284635
4554-YGZIH,Male,75,No,Yes,Yes,No,0,United States,California,Summerland,93067,34.420998,-119.60137,576,Q3,Yes,3,49,Offer B,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,2,Churned,Yes,96,5059,Competitor,Competitor made better offer,1,0.36293208385901665,1,Medium Risk,Monitor / Targeted Campaign,Contract Upgrade + Tech Support Offer + Online Security Offer + Plan/Pricing Review,32.682034151504446
5099-BAILX,Male,77,No,Yes,Yes,No,0,United States,California,Santa Barbara,93101,34.419203,-119.710008,31727,Q3,Yes,1,43,Offer B,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.259999999999,2,Churned,Yes,65,2728,Competitor,Competitor made better offer,1,0.8450225562929881,1,High Risk,Immediate,Contract Upgrade + Online Security Offer + Plan/Pricing Review,93.58624810944843
4913-EHYUI,Male,80,No,Yes,Yes,No,0,United States,California,Alpaugh,93201,35.869626,-119.498771,1054,Q3,No,0,56,Offer B,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0,2732.8,8527.449999999999,1,Churned,Yes,91,6268,Competitor,Competitor offered higher download speeds,1,0.3719421643582809,1,Medium Risk,Monitor / Targeted Campaign,Tech Support Offer + Plan/Pricing Review,38.88655328365827
1626-ERCMM,Male,75,No,Yes,Yes,No,0,United States,California,Camp Nelson,93208,36.057458,-118.591951,191,Q3,Yes,7,20,No Offer,Yes,5.31,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0,106.2,2005.85,1,Churned,Yes,84,5604,Competitor,Competitor had better devices,1,0.4184319443014946,1,Medium Risk,Monitor / Targeted Campaign,Contract Upgrade + Tech Support Offer + Online Security Offer + Plan/Pricing Review,39.562740333706316
5644-PDMZC,Female,69,No,Yes,No,No,0,United States,California,Delano,93215,35.772244,-119.209689,37280,Q3,No,0,2,No Offer,Yes,47.47,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0.0,0,94.94,256.44,2,Churned,Yes,80,2065,Attitude,Attitude of support person,1,0.7957950178398305,1,High Risk,Immediate,Contract Upgrade + Early-Tenure Intervention + Tech Support Offer + Online Security Offer + Plan/Pricing Review,71.22365409666483
4160-AMJTL,Female,74,No,Yes,No,No,0,United States,California,Fellows,93224,35.215731,-119.57013,626,Q3,No,0,8,No Offer,Yes,27.95,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,0,223.6,387.9,2,Churned,Yes,83,5432,Attitude,Attitude of support person,1,0.4040731606447097,1,Medium Risk,Monitor / Targeted Campaign,Contract Upgrade + Tech Support Offer + Online Security Offer,7.940037606668545
0823-HSCDJ,Male,76,No,Yes,No,No,0,United States,California,Temecula,92592,33.507255,-117.029473,46171,Q3,No,0,52,No Offer,No,0.0,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2580.9,2,Churned,Yes,90,5597,Competitor,Competitor made better offer,1,0.5126237046491691,1,Medium Risk,Monitor / Targeted Campaign,Contract Upgrade + Tech Support Offer + Online Security Offer,25.19545508350666
0067-DKWBL,Male,69,No,Yes,No,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,No,0,2,No Offer,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.07999999999998,2,Churned,Yes,95,3475,Competitor,Competitor made better offer,1,0.5988693593801413,1,Medium Risk,Monitor / Targeted Campaign,Contract Upgrade + Early-Tenure Intervention + Tech Support Offer,29.494315949471957
5244-IRFIH,Male,72,No,Yes,Yes,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,Yes,1,33,No Offer,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,3,Churned,Yes,91,4333,Other,Poor expertise of online support,1,0.9049156676397204,1,High Risk,Immediate,Contract Upgrade + Tech Support Offer + Online Security Offer + Plan/Pricing Review,85.51453059195357
2684-EIWEO,Female,69,No,Yes,No,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,No,0,30,No Offer,Yes,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0.0,0,1376.4,4134.55,1,Churned,Yes,90,2482,Competitor,Competitor made better offer,1,0.46632734212060767,1,Medium Risk,Monitor / Targeted Campaign,Contract Upgrade + Tech Support Offer + Plan/Pricing Review,42.76221727245972
6683-VLCTZ,Male,73,No,Yes,No,No,0,United States,California,San Diego,92129,32.961064,-117.134917,47224,Q3,No,0,20,No Offer,Yes,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,2851.6,3,Churned,Yes,92,5444,Competitor,Competitor made better offer,1,0.794985211081489,1,High Risk,Immediate,Contract Upgrade + Tech Support Offer + Online Security Offer + Plan/Pricing Review,78.34579255208074
0691-IFBQW,Female,65,No,Yes,No,No,0,United States,California,Biola,93606,36.798882,-120.019511,807,Q3,No,0,46,No Offer,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0,109.02,4983.820000000001,1,Churned,Yes,81,2403,Competitor,Competitor made better offer,1,0.3524631641930529,1,Medium Risk,Monitor / Targeted Campaign,Tech Support Offer + Plan/Pricing Review,38.77094806123582
3643-AHCFP,Male,74,No,Yes,Yes,No,0,United States,California,Selma,93662,36.545322,-119.642281,26213,Q3,Yes,1,7,No Offer,Yes,21.91,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0.0,0,153.37,797.72,3,Churned,Yes,83,3265,Competitor,Competitor made better offer,1,0.9808408579609086,1,High Risk,Immediate,Contract Upgrade + Tech Support Offer + Online Security Offer + Plan/Pricing Review,93.76838602106285
9231-ZJYAM,Female,65,No,Yes,No,No,0,United States,California,Squaw Valley,93675,36.719141,-119.202677,3146,Q3,No,0,4,No Offer,Yes,36.93,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0.0,0,147.72,440.52,3,Churned,Yes,72,5301,Other,Moved,1,0.8326689078770265,1,High Risk,Immediate,Contract Upgrade + Early-Tenure Intervention + Tech Support Offer + Online Security Offer,65.65594338610353
0727-BMPLR,Female,66,No,Yes,No,No,0,United States,California,Fresno,93706,36.654614,-119.903674,35790,Q3,No,0,55,No Offer,Yes,37.38,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,7665.200000000001,3,Churned,Yes,83,5679,Competitor,Competitor offered higher download speeds,1,0.42644699685871607,1,Medium Risk,Monitor / Targeted Campaign,Tech Support Offer + Online Security Offer + Plan/Pricing Review,42.64469968587161
